U;I;T
28.5;0.817;951
36.6;0.918;1105
45.0;1.012;1216
53.1;1.100;1393
67.2;1.244;1352
75.5;1.320;1536
82.6;1.388;1631
91.3;1.465;1764
100.2;1.544;1866
